jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
7,1,16.0,1,2.0,2.0,2,600.0,6.396929655216146,288.0
1,2,21.0,1,2.0,1.0,2,1400.0,7.24422751560335,364.0
1,2,32.0,1,2.0,1.0,3,1800.0,7.495541943884256,72.0
1,1,41.0,1,2.0,1.0,2,1320.0,7.1853870155804165,248.0
1,1,27.0,1,2.0,1.0,3,600.0,6.396929655216146,216.0
2,2,28.0,1,2.0,1.0,3,600.0,6.396929655216146,168.0
1,1,45.0,1,2.0,1.0,4,960.0,6.866933284461882,280.0
1,2,29.0,1,2.0,2.0,2,1400.0,7.24422751560335,280.0
2,1,32.0,1,2.0,1.0,2,1000.0,6.907755278982137,280.0
3,1,16.0,1,2.0,2.0,3,480.0,6.173786103901937,240.0
2,1,38.0,1,1.0,1.0,3,2400.0,7.783224016336037,80.0
8,2,31.0,1,2.0,1.0,2,1800.0,7.495541943884256,240.0
2,2,38.0,1,1.0,1.0,2,1000.0,6.907755278982137,180.0
1,2,22.0,1,2.0,1.0,1,1200.0,7.090076835776092,48.0
1,1,24.0,1,2.0,1.0,3,1000.0,6.907755278982137,216.0
7,2,19.0,1,2.0,2.0,3,1100.0,7.003065458786462,200.0
8,1,26.0,1,1.0,1.0,2,1200.0,7.090076835776092,244.0
1,2,45.0,1,2.0,2.0,2,900.0,6.802394763324311,48.0
2,1,25.0,1,2.0,1.0,3,2400.0,7.783224016336037,224.0
6,1,40.0,1,1.0,2.0,3,1500.0,7.313220387090301,216.0
1,1,29.0,1,2.0,1.0,4,1000.0,6.907755278982137,224.0
3,2,21.0,1,2.0,1.0,2,496.0,6.206575926724928,72.0
1,1,32.0,1,2.0,1.0,1,1300.0,7.170119543449628,264.0
3,2,19.0,1,2.0,2.0,3,682.0,6.525029657843462,128.0
1,2,35.0,1,2.0,1.0,4,1860.0,7.528331766707247,32.0
2,2,39.0,1,1.0,2.0,1,1050.0,6.956545443151569,188.0
1,1,46.0,1,2.0,1.0,2,1200.0,7.090076835776092,260.0
2,2,26.0,1,2.0,1.0,4,800.0,6.684611727667927,240.0
1,1,45.0,1,2.0,1.0,2,1200.0,7.090076835776092,192.0
7,1,19.0,1,2.0,2.0,3,400.0,5.991464547107982,240.0
3,1,20.0,1,2.0,2.0,3,740.0,6.606650186198215,256.0
1,1,31.0,1,2.0,1.0,3,1400.0,7.24422751560335,260.0
7,1,28.0,1,2.0,1.0,3,1200.0,7.090076835776092,216.0
2,2,30.0,1,1.0,1.0,5,0.0,,160.0
1,1,32.0,1,2.0,1.0,3,1680.0,7.426549072397305,240.0
8,2,40.0,1,2.0,1.0,2,1000.0,6.907755278982137,336.0
8,1,48.0,1,2.0,1.0,3,2080.0,7.640123172695364,180.0
1,1,35.0,1,2.0,1.0,5,1200.0,7.090076835776092,264.0
3,1,19.0,1,2.0,2.0,5,900.0,6.802394763324311,264.0
1,1,22.0,1,2.0,2.0,3,1200.0,7.090076835776092,288.0
1,1,24.0,1,2.0,1.0,3,1200.0,7.090076835776092,96.0
2,1,27.0,1,2.0,1.0,4,600.0,6.396929655216146,288.0
2,2,48.0,1,2.0,1.0,1,1200.0,7.090076835776092,240.0
1,2,57.0,1,1.0,1.0,1,960.0,6.866933284461882,180.0
2,2,44.0,1,2.0,1.0,2,600.0,6.396929655216146,80.0
1,1,34.0,1,1.0,1.0,1,1100.0,7.003065458786462,40.0
1,1,30.0,1,2.0,1.0,5,800.0,6.684611727667927,80.0
7,1,30.0,1,2.0,1.0,3,1500.0,7.313220387090301,192.0
3,2,20.0,1,2.0,2.0,2,900.0,6.802394763324311,288.0
1,2,43.0,1,2.0,1.0,2,1200.0,7.090076835776092,232.0
1,1,28.0,1,2.0,1.0,2,1400.0,7.24422751560335,160.0
1,1,32.0,1,2.0,1.0,3,1200.0,7.090076835776092,272.0
1,2,39.0,1,2.0,1.0,2,1600.0,7.3777589082278725,200.0
4,1,20.0,1,2.0,2.0,2,1720.0,7.450079569807499,280.0
1,1,45.0,1,2.0,1.0,2,760.0,6.633318433280377,240.0
2,2,45.0,1,2.0,1.0,5,560.0,6.327936783729195,240.0
3,2,20.0,1,2.0,2.0,5,560.0,6.327936783729195,240.0
3,1,23.0,1,2.0,2.0,5,560.0,6.327936783729195,240.0
2,2,20.0,1,2.0,1.0,3,880.0,6.779921907472252,240.0
1,2,32.0,1,2.0,1.0,3,930.0,6.835184586147301,240.0
1,1,29.0,1,2.0,1.0,3,800.0,6.684611727667927,216.0
